gvkey,month_year,asset_return_monthly,asset_value,asset_volatility_monthly,asset_volatility,msgarch_prob_0,msgarch_vol_0,msgarch_vol_1,msgarch_cond_vol
221616,2015-09,0.01667436172976084,178784184763.67654,0.03819190400310429,0.13230063634233966,0.9868436651047786,0.06703393396399857,0.37754890514683936,0.07943409490835719
221616,2015-10,0.02859788619719945,183970844807.28104,0.038840572771725417,0.1345476908714095,0.9768371561222344,0.06615378446248532,0.3773486433463867,0.08702389753126691
221616,2015-11,0.011483377458999272,186095627953.91647,0.03909788408742728,0.13543904341572555,0.9879586994431712,0.0658331533310882,0.3774128232395848,0.07744020384143142
221616,2015-12,-0.019002539760702254,182592725809.57983,0.03530773017671545,0.12230956513200801,0.9737700852457387,0.06513357811306274,0.37733303515730826,0.08868893206894246
221616,2016-01,0.0042422332831283825,183368972093.0307,0.03621717404902893,0.12545997111896628,0.9886013256409659,0.06512100232026985,0.37742692350621015,0.07626375007206634
221616,2016-02,-0.013482084511416526,180913366650.03107,0.037060300310239394,0.1283806461621905,0.9810310956698601,0.06454800167147291,0.37732806555841936,0.0823901526440712
221616,2016-03,0.007763688046144815,182323387992.6056,0.03688837320776568,0.12778507320882537,0.9886098294988082,0.06444275812953164,0.377387131395934,0.07568201368981882
221616,2016-04,-0.012473750684501841,180063256967.53812,0.03631374527146709,0.12579450364659014,0.981992729071492,0.06402077725745048,0.3773280047621888,0.08117059237807714
221616,2016-05,0.01487291022425654,182761336031.76865,0.03492895217491374,0.12099743964418808,0.9873334934720519,0.06399897796042085,0.3773809507038759,0.07647160818226434
221616,2016-06,-0.008945755714823003,181133688886.9545,0.03530545899501521,0.12230169752781193,0.9847272379798562,0.06375028806776914,0.37734101781994783,0.07859173254101381
221616,2016-07,-0.0012511594073298848,180907203482.33655,0.034278804340094574,0.11874526147951268,0.9879698946426001,0.06368052583140339,0.3773620813559043,0.07562762409907094
221616,2016-08,-0.006661007527929228,179706183679.72675,0.03138323575390671,0.10871471766335715,0.9860286675295329,0.06346940348032659,0.37733501247420337,0.07720975184491582
221616,2016-09,-0.001248290027378429,179481998196.14383,0.02973087658086987,0.10299077758325255,0.9880003136188662,0.06340453034903133,0.3773518945186136,0.075369641673028
221616,2016-10,-0.0018845848354280216,179144067673.4981,0.028890675721366076,0.10008023642880533,0.9878413743531806,0.06325508878578287,0.37733490404891634,0.07539046374818713
221616,2016-11,0.0005538366704398888,179243311707.4233,0.028196178579810532,0.09767442775903422,0.9883934541967305,0.06314795203035282,0.377336252935111,0.07479272401507014
221616,2016-12,0.038178798011047003,186218918750.95502,0.026048786944639524,0.09023564492730503,0.9496598230279568,0.06303529207332526,0.37733116669673084,0.10459827163578322
221616,2017-01,-0.06479648619553358,174535206536.54285,0.0284620811421299,0.098595541254634,0.07016330169875314,0.06391987016071707,0.3774995953271475,0.36440901003168524
221616,2017-02,0.004075769901456787,175248023530.3432,0.02699247713014535,0.0935046836231054,0.9974801470557202,0.06813772150976752,0.3781428463087533,0.07064962059742007
221616,2017-03,0.0030851744175614563,175789529139.3755,0.026289258537092505,0.09106866295911614,0.9879642806795881,0.06691582970473871,0.37733531812322996,0.07834222793830918
221616,2017-04,-0.008630878552983598,174278839728.75732,0.02589594090047583,0.08970617069885015,0.9847036141365718,0.06595816639083028,0.3773279263538841,0.08038517835350782
221616,2017-05,0.042728644140641696,181886922284.20697,0.026128369949974434,0.09051132854462321,0.9299757950980087,0.06538977280285836,0.37736045310887756,0.11810132062889311
221616,2017-06,-0.04513110719200151,173860643806.94656,0.024688302913017462,0.08552278999599391,0.7394773696191297,0.06601347093833795,0.3775517087267737,0.20089488068909295
221616,2017-07,-0.007531138732319782,172556193342.53925,0.024448799496575857,0.08469312582426754,0.9884069337994454,0.06757943890853656,0.37775264462437247,0.07853872754525612
221616,2017-08,-0.007882557654279948,171201356006.8145,0.024594872832653082,0.08519913870370122,0.9850402659640766,0.0666317626667417,0.3773597278012699,0.08064518129546573
221616,2017-09,0.01730139611011928,174189150459.60025,0.02444844590498985,0.08469190094708336,0.9861215802944192,0.06589732199050526,0.37735734305176294,0.07911041426816802
