gvkey,month_year,asset_return_monthly,asset_value,asset_volatility_monthly,asset_volatility,regime_0_prob,regime_1_prob,sigma2_0,sigma2_1
214881,2019-09,0.04348425788131799,807824691760.7587,0.027599243877758278,0.09560658529352323,0.9135060979071796,0.0864939020928201,0.0004944402794963378,0.005180249201359358
214881,2019-10,0.0038766900932630547,810962455880.2239,0.026395891155673142,0.0914380491853677,0.9793201993577542,0.020679800642245533,0.0004944402794963378,0.005180249201359358
214881,2019-11,-0.014293275876916606,799453591395.6388,0.0258900071968822,0.08968561574664771,0.9711943692884288,0.028805630711570985,0.0004944402794963378,0.005180249201359358
214881,2019-12,0.0387351375151418,831028110059.3096,0.025534390415102557,0.08845372307851476,0.9363900193659781,0.06360998063402176,0.0004944402794963378,0.005180249201359358
214881,2020-01,-0.003629112636113888,828017681340.6388,0.02566790370869424,0.08891622669448808,0.977009347484956,0.022990652515043987,0.0004944402794963378,0.005180249201359358
214881,2020-02,-0.001936133603736885,826416079441.251,0.02679009718174071,0.0928036189169654,0.9999100716476694,8.992835233067326e-05,0.0004944402794963378,0.005180249201359358
214881,2020-03,-0.10114817201817693,746914113143.791,0.03084208223504648,0.10684010688463595,0.0018391628387207021,0.9981608371612792,0.0004944402794963378,0.005180249201359358
214881,2020-04,0.037035856275046845,775095353908.7775,0.03337781760793231,0.1156241518854117,0.9997681964515084,0.00023180354849148543,0.0004944402794963378,0.005180249201359358
214881,2020-05,0.0019031929290180074,776571914549.8442,0.03509727912514205,0.12158054130434516,0.9771275768286537,0.022872423171346076,0.0004944402794963378,0.005180249201359358
214881,2020-06,0.003924086294404556,779625236587.8943,0.03615331797237154,0.12523876718068105,0.9778376890910603,0.02216231090893954,0.0004944402794963378,0.005180249201359358
214881,2020-07,0.01837538390459924,794083581606.9894,0.03582744878587476,0.12410992320541393,0.9732448389980763,0.026755161001923537,0.0004944402794963378,0.005180249201359358
214881,2020-08,0.010265472319515148,802277208404.3802,0.03583420125434847,0.12413331444235988,0.9770887922554459,0.02291120774455372,0.0004944402794963378,0.005180249201359358
214881,2020-09,-0.006321952145102139,797221248892.1002,0.035261834804676304,0.12215057889959988,0.9755674308612359,0.02443256913876386,0.0004944402794963378,0.005180249201359358
214881,2020-10,-0.007979282734751259,790885306898.1826,0.035515513333511856,0.12302934710106486,0.9753236568401054,0.024676343159894296,0.0004944402794963378,0.005180249201359358
214881,2020-11,0.03328482047181937,817652786513.1282,0.037084262970303386,0.12846365525162118,0.9545176535537084,0.045482346446291115,0.0004944402794963378,0.005180249201359358
214881,2020-12,-0.03032821643641275,793227101762.273,0.03705615569798906,0.1283662888042,0.9393650175524947,0.060634982447504815,0.0004944402794963378,0.005180249201359358
214881,2021-01,0.026363080829416092,814417101539.3826,0.03776036190896127,0.13080573067701887,0.9682199043013822,0.03178009569861726,0.0004944402794963378,0.005180249201359358
