gvkey,date,asset_value,asset_volatility
14447,2010-04-30,60550928081.882286,0.18167234991162665
14447,2010-05-31,60255614610.58396,0.22636842205110064
14447,2010-06-30,62024604682.29447,0.22369879117640798
14447,2010-07-30,63907444099.58515,0.22260978583669655
14447,2010-08-31,62984313700.32083,0.21462425034503513
14447,2010-09-30,70742407865.259,0.21273605671930296
14447,2010-10-29,73209969274.11372,0.21161224324257225
14447,2010-11-30,75285122446.18004,0.20807817978238302
14447,2010-12-31,78363359215.73318,0.20458488450017945
14447,2011-01-31,78365858108.69121,0.2145048065216796
14447,2011-02-28,78463986557.02666,0.21078504767302148
14447,2011-03-31,77100101337.37509,0.21564389063549527
14447,2011-04-29,81776095099.69441,0.21236766524719855
14447,2011-05-31,81627728695.35016,0.19323408217434077
14447,2011-06-30,83217254143.86212,0.18681655264477598
14447,2011-07-29,87364470779.7131,0.18746816614772902
14447,2011-08-31,82353409417.26904,0.20759979872367174
14447,2011-09-30,73053228293.41905,0.22747005345029156
14447,2011-10-31,83524623297.11578,0.23144594074873262
14447,2011-11-30,81610634921.06044,0.2369653493671738
14447,2011-12-30,77958773445.74994,0.2369212888248075
14447,2012-01-31,85846641873.2841,0.22981601772747223
14447,2012-02-29,87217744061.93446,0.22898895241843434
14447,2012-03-30,88493892858.01135,0.22842102938179615
14447,2012-04-30,86661455288.24005,0.23234764224011029
14447,2012-05-31,83743908960.5987,0.23584977311524286
14447,2012-06-29,83981477297.94278,0.2415645721463212
14447,2012-07-31,85365681658.36302,0.24315279949256424
14447,2012-08-31,89050435863.96367,0.2267374802166085
14447,2012-09-28,82507250280.32036,0.20893314664541596
14447,2012-10-31,86777469339.45659,0.20098156137046855
14447,2012-11-30,91567226368.28406,0.1960880456677128
14447,2012-12-31,93552683924.88521,0.19073635190812263
14447,2013-01-31,97146294652.86438,0.18924457551309612
14447,2013-02-28,93549468837.68246,0.19172503725319914
14447,2013-03-29,94564808567.71349,0.18605195710363462
14447,2013-04-30,93362129212.2102,0.18589294855621968
14447,2013-05-31,95981149766.76932,0.1751453605679715
14447,2013-06-28,89851927896.21854,0.1723881497107578
14447,2013-07-31,96034036733.01944,0.16818003990745609
14447,2013-08-30,93898200929.01945,0.164149118045312
14447,2013-09-30,100531224713.01945,0.15929836354514068
14447,2013-10-31,98627358148.21945,0.15627479424317378
14447,2013-11-29,97030047147.96945,0.15327423179320318
14447,2013-12-31,93915175371.81946,0.15086164388697174
14447,2014-01-31,95983306399.5671,0.16256649175572133
14447,2014-02-28,97337655393.66716,0.15806619108306447
14447,2014-03-31,95865412785.16714,0.15897384562643055
14447,2014-04-30,100920237701.91718,0.149362242703767
14447,2014-05-30,103060472984.76717,0.14411268942275465
14447,2014-06-30,100454160965.61719,0.13560997669327365
14447,2014-07-31,94258029740.01718,0.13834611380784737
14447,2014-08-29,95926505421.41718,0.13682910863616607
14447,2014-09-30,94228327796.01717,0.13331902431418646
14447,2014-10-31,97606088906.46718,0.13025614807480626
14447,2014-11-28,102236902669.41718,0.13245031821727066
14447,2014-12-31,96020757478.41718,0.14515661892004203
14447,2015-01-30,103107628973.47171,0.13977197291354929
14447,2015-02-27,113464947918.6717,0.15161451482313257
14447,2015-03-31,113585006497.72171,0.15452757479192117
14447,2015-04-30,109775767697.5717,0.15893178270406544
14447,2015-05-29,112607527171.2217,0.16723562992240182
14447,2015-06-30,110073352553.32083,0.18189374793337967
14447,2015-07-31,116955903632.27142,0.18595303353516465
14447,2015-08-31,105767060146.46771,0.20719234702351258
14447,2015-09-30,107578025571.42677,0.21875613962138973
14447,2015-10-30,116418515349.15842,0.22549442427311794
14447,2015-11-30,110915751238.81029,0.23164882073580595
14447,2015-12-31,103885641506.2666,0.22880196254818058
14447,2016-01-29,105483668917.12323,0.2323171750378025
14447,2016-02-29,108145616048.66374,0.23363423321789006
14447,2016-03-31,106472581042.46474,0.2331585509954864
14447,2016-04-29,103747336500.72583,0.2336613407426489
14447,2016-05-31,103221329388.76233,0.22981713301068388
14447,2016-06-30,99211769859.58679,0.22806579927325102
14447,2016-07-29,108048470541.15042,0.22714213100923353
14447,2016-08-31,107195449558.81319,0.208578442198812
14447,2016-09-30,107246399454.00977,0.19809347061880933
14447,2016-10-31,114102634615.18329,0.19345600011550335
14447,2016-11-30,117228650352.33789,0.18640255060138725
14447,2016-12-30,122164222531.33815,0.17685383537070584
14447,2017-01-31,131025098457.53209,0.17554895386783498
14447,2017-02-28,132469992309.68233,0.16431382995964103
14447,2017-03-31,140784469213.28235,0.15992568150754569
14447,2017-04-28,151276163860.13232,0.15862877989771926
14447,2017-05-31,151725029516.33234,0.15688827020061444
14447,2017-06-30,147237015675.53235,0.14531029078054716
14447,2017-07-31,144257284261.4323,0.13696641303385293
14447,2017-08-31,148085178898.38232,0.1360217050031783
14447,2017-09-29,154777330434.78235,0.1328276132533871
14447,2017-10-31,166261912327.23236,0.12994203023828083
14447,2017-11-30,160381946780.63232,0.12822979969893256
14447,2017-12-29,160838760422.93234,0.131978321378871
14447,2018-01-31,166438672200.0323,0.12830088611437618
14447,2018-02-28,163346092376.13232,0.13593030326056701
14447,2018-03-30,165221919482.4323,0.14173254749139497
14447,2018-04-30,184497910743.93234,0.14544509156816082
14447,2018-05-31,188606352165.43234,0.14667235708301007
14447,2018-06-29,182626037398.2323,0.15208198619462113
14447,2018-07-31,189302868932.78232,0.15577052304648772
14447,2018-08-31,190818286305.1323,0.16084824435478323
14447,2018-09-28,192207187342.03232,0.16868551023305164
14447,2018-10-31,174127187155.83234,0.18536789893679806
14447,2018-11-30,165920469334.5823,0.1906981655605585
14447,2018-12-31,168773881992.43216,0.200106121288472
14447,2019-01-31,196588184880.05112,0.2264041222918962
14447,2019-02-28,207824637573.0599,0.22147544075413256
14447,2019-03-29,220904845656.97653,0.21876481287703206
14447,2019-04-30,231606761544.31158,0.21600522658432675
14447,2019-05-31,226336336680.1772,0.2211315056340435
14447,2019-06-28,244489311174.80853,0.21661929506949823
14447,2019-07-31,244994742459.81497,0.21361622305538955
14447,2019-08-30,238474678883.21063,0.22323291549151236
14447,2019-09-30,239611899274.48355,0.2227951666769524
14447,2019-10-31,248633847711.81693,0.21386294567085268
14447,2019-11-29,261168543579.82034,0.20846571207482278
14447,2019-12-31,264656019446.3205,0.1768177945563769
14447,2020-01-31,266073072572.6789,0.1753814473400792
14447,2020-02-28,253725154134.1283,0.1845564772456472
14447,2020-03-31,237362268061.18683,0.23978271048392125
14447,2020-04-30,244432650731.15637,0.2468730642601275
14447,2020-05-29,255821017346.86432,0.2517463075363807
14447,2020-06-30,263648941067.20905,0.258142873105544
14447,2020-07-31,251654540875.83435,0.26216333144811166
14447,2020-08-31,264704448096.36502,0.2527032603262939
14447,2020-09-30,268035846565.27402,0.2527160853219231
14447,2020-10-30,269499642810.23514,0.25620604518006906
14447,2020-11-30,310183084446.9072,0.26623189870394187
14447,2020-12-31,324316289955.938,0.2631652521584072
14447,2021-01-29,324196412455.40625,0.26530565381447185
14447,2021-02-26,337673433455.4641,0.25934068973706587
14447,2021-03-31,359428474776.60345,0.21116563912673436
14447,2021-04-30,388754876172.5036,0.20727172843883887
14447,2021-05-31,401777615518.70355,0.1966414253136797
14447,2021-06-30,406471858771.4035,0.1875550356060972
14447,2021-07-30,412831801242.8035,0.18772632334450945
14447,2021-08-31,389057730575.9035,0.2003342896309754
14447,2021-09-30,385675856404.6036,0.20270092762717382
14447,2021-10-29,414497500461.5036,0.19756963952538611
14447,2021-11-30,419242219448.1036,0.19139586748739298
14447,2021-12-31,439634415943.70355,0.19612148229796167
14447,2022-01-31,438973499908.2847,0.20462552425224367
14447,2022-02-28,407325214752.9847,0.21535208388645488
14447,2022-03-31,402025262693.45,0.2489049638047933
14447,2022-04-29,386933018257.2287,0.25132611422620665
14447,2022-05-31,375676929595.505,0.2624672622544235
14447,2022-06-30,367853190834.08704,0.2687252633911456
14447,2022-07-29,413934550571.23663,0.2696153889835274
14447,2022-08-31,400094973748.999,0.261393397521539
14447,2022-09-30,381424126471.61725,0.2590567797060617
14447,2022-10-31,395817286367.13464,0.2637753043242139
14447,2022-11-30,445287482791.51373,0.2673040543572401
14447,2022-12-30,416400511532.61774,0.2670355761334638
14447,2023-01-31,478681644778.5766,0.2614828586715257
14447,2023-02-28,473159112378.5845,0.2520136852642769
14447,2023-03-31,500972593738.5863,0.22639756324636967
14447,2023-04-28,514327081178.5863,0.22527785364798422
14447,2023-05-31,485660117538.58636,0.2165346487153857
14447,2023-06-30,510310693978.5863,0.21180405671102925
14447,2023-07-31,502830172818.58636,0.2178313805398901
14447,2023-08-31,469745183258.5863,0.21954565246179886
14447,2023-09-29,436710398538.5863,0.221699300942414
14447,2023-10-31,415674570578.58624,0.2223433902512919
14447,2023-11-30,429832335458.58636,0.21711439534318694
14447,2023-12-29,445345631018.58636,0.21451341349077127
14447,2024-01-31,463889712641.88055,0.23280976813918178
14447,2024-02-29,498586645233.8806,0.2302436160488951
14447,2024-03-29,494023898317.88055,0.22481822355439418
14447,2024-04-30,463315817185.88055,0.22258583406731697
14447,2024-05-31,443560220035.88055,0.21847677293901718
14447,2024-06-28,432907201825.88055,0.21761779085575964
14447,2024-07-31,402598614805.88055,0.2114170076062308
14447,2024-08-30,413251633015.88055,0.2088982087500687
14447,2024-09-30,420353645155.88043,0.22712156741970235
14447,2024-10-31,380992493365.8782,0.22573429541414072
14447,2024-11-29,372340041955.8771,0.22420393291420115
14447,2024-12-31,393973235055.8794,0.22735877394491072
15181,2010-01-29,532405393845.5596,0.02483369550690072
15181,2010-02-26,526486776544.8402,0.026980682234254292
15181,2010-03-31,528708878499.6482,0.02466373788504479
15181,2010-04-30,527992440511.2479,0.025882055520921522
15181,2010-05-31,522310974428.3097,0.0356501029072061
15181,2010-06-30,522681444165.71814,0.035462099778319975
15181,2010-07-30,529418931431.9778,0.034265995327654244
15181,2010-08-31,526288055718.8159,0.032654627336359404
15181,2010-09-30,527808354813.2482,0.031246529154433805
15181,2010-10-29,526074982117.9171,0.030003966885014357
15181,2010-11-30,521784540605.9574,0.031154482791087956
15181,2010-12-31,524005052340.9708,0.03060330773399136
15181,2011-01-31,565004009256.7188,0.08206975749410247
15181,2011-02-28,564967084298.9377,0.08167213742829875
15181,2011-03-31,562745053004.2302,0.08176074558084863
15181,2011-04-29,564086445837.9835,0.08128593180542222
