gvkey,month_year,asset_value,liabilities_total,risk_free_rate,log_asset_debt_ratio,merton_pd_garch,d2_garch,volatility_garch,merton_pd_regime,d2_regime,volatility_regime,merton_pd_msgarch,d2_msgarch,volatility_msgarch
132740,2018-04,28625036333.88293,4433.0,-0.001897,15.680715733380909,0.0,72.86440074062264,0.2148612476925605,0.0,69.22782601099726,0.22611219034356664,0.0,70.26747042768824,0.2227773926507317
132740,2018-05,31136568328.619213,4433.0,-0.00188,15.764816961141502,0.0,74.08409656200556,0.2124661938235083,0.0,65.29824523350428,0.2409545212771895,0.0,66.69065703900154,0.2359416360843519
132740,2018-06,29254816065.529213,4433.0,-0.001815,15.702478214138566,0.0,70.5742241101459,0.2221206766958567,0.0,61.84127548207894,0.25336744046837184,0.0,64.41748338238335,0.243273586182307
132740,2018-07,30198418243.6934,4433.0,-0.001795,15.734223549173867,0.0,68.28418475505954,0.2300089916485462,0.0,60.538882548595964,0.25931773176632156,0.0,59.851437929975766,0.2622832939186132
132740,2018-08,29356812779.22766,4433.0,-0.001693,15.705958643489167,0.0,70.1328051363147,0.2235654890612788,0.0,57.82255754048759,0.2709592390117949,0.0,68.53932449099136,0.2287461011692607
132740,2018-09,26686451170.8171,4433.0,-0.0016619999999999998,15.610589992026991,0.0,70.40838495486624,0.2213434032174309,0.0,54.67980952748604,0.28471927015041437,0.0,63.660347915384115,0.244720371034331
132740,2018-10,24571557013.42189,4433.0,-0.0015379999999999999,15.52802355723626,0.0,63.55689992871584,0.2438249861569695,0.0,54.00129471533664,0.28675923806196074,0.0,55.85191055623759,0.2773054003071483
132740,2018-11,25463616806.282173,4433.0,-0.001474,15.56368464361843,0.0,60.981197238700624,0.2546651129683159,0.0,54.271179554237406,0.2859955146342695,0.0,54.25016245315338,0.2861057312463445
132740,2018-12,24178266124.855927,4433.0,-0.0012870000000000002,15.511888137821728,0.0,63.35098785268408,0.2443646833823375,0.0,53.8372297834385,0.2873350003119642,0.0,63.55472095231601,0.2435843355393963
132740,2019-01,26862573249.460464,4779.0,-0.001159,15.542013227162776,0.0,63.5730383195814,0.2439884807740881,0.0,53.73241023397895,0.28845256926523655,0.0,60.13904748045756,0.2578625424157488
132740,2019-02,26738175460.648884,4779.0,-0.001084,15.537371575128047,0.0,60.885677495878696,0.2546389841854677,0.0,53.66273263592933,0.28874045893148964,0.0,59.329446687099924,0.2612893324164673
132740,2019-03,24895901544.184982,4779.0,-0.001088,15.465982431672328,0.0,63.364810759477855,0.2435930205871278,0.0,53.04284357825626,0.29075787271183434,0.0,61.61992568707058,0.2504632768226836
132740,2019-04,28697014111.071213,4779.0,-0.001122,15.608072317779737,0.0,62.3009834021814,0.2500072655485697,0.0,53.34055150992841,0.2917926120553452,0.0,56.630315500750555,0.2749262116796634
132740,2019-05,23079563609.61285,4779.0,-0.001339,15.39022677210032,0.0,55.44741454642205,0.2768490685148116,0.0,52.55440050486187,0.2920070170276971,0.0,37.81993596157527,0.4047331891427645
132740,2019-06,24228956556.51714,4779.0,-0.001903,15.438827708155376,0.0,42.8732203234849,0.3585604670676611,0.0,53.47326049481832,0.28790985482165465,0.0,55.14072002579056,0.2792479855582994
132740,2019-07,26071667189.137066,4779.0,-0.002833,15.512128414753654,0.0,46.29025922746985,0.3338406584889662,0.0,54.080167834065705,0.28602702809309805,0.0,43.37447534856464,0.3561055141765838
132740,2019-08,24484859918.2279,4779.0,-0.003563,15.449334202380086,0.0,48.54358509506149,0.3171475671309203,0.0,54.04289650051983,0.28505399064685694,0.0,62.51943087295701,0.2465693109260657
132740,2019-09,25439219529.245625,4779.0,-0.003391,15.487571297487714,0.0,50.3866314131143,0.3063758537268751,0.0,54.644991253546564,0.2826286629868294,0.0,50.74697389461953,0.3042133595097465
132740,2019-10,26527947636.65454,4779.0,-0.0030420000000000004,15.529478043429508,0.0,53.74565668142731,0.2881150192851164,0.0,54.78940126032117,0.2826548348650894,0.0,66.91935764396023,0.2316162846963631
132740,2019-11,29040279342.976643,4779.0,-0.00272,15.61996304752709,0.0,57.04670572187937,0.2731086516316335,0.0,54.64678219482737,0.2850418268083566,0.0,61.3149578658089,0.2541784297489164
132740,2019-12,30192902129.66892,4779.0,-0.002614,15.658886106306566,0.0,57.442583917193815,0.2719115869381315,0.0,54.395602881615524,0.287064912366805,0.0,67.13655947715233,0.2327967810295161
132740,2020-01,36296879703.53695,11780.0,-0.0025340000000000002,14.940839158736738,0.0,57.516937684814536,0.2591363506918225,0.0,51.05155760225002,0.2917783230024926,0.0,56.22594747986107,0.2650587098464106
132740,2020-02,35321810473.32544,11780.0,-0.0028810000000000003,14.913608013317061,0.0,48.24540295415788,0.3080764292570641,0.0,51.01020028095745,0.2914759755746131,0.0,58.632578333296095,0.2537587580592885
132740,2020-03,28580539912.88964,11780.0,-0.002656,14.70183344334787,0.0,50.3475941413382,0.2911123064731262,0.0,50.19240017711456,0.29200722186661743,0.0,45.958590894502315,0.3187300294116669
132740,2020-04,32979903125.21489,11780.0,-0.001082,14.845005759488194,0.0,40.692138956076974,0.3631654556510388,0.0,50.87698153436797,0.29092928449775185,0.0,49.08030695893782,0.3015153920299153
132740,2020-05,35366653039.81328,11780.0,-0.000814,14.914876751390418,0.0,40.81687143750696,0.3637686673864111,0.0,52.418361103911266,0.28375181694626533,4.861616707186228e-241,33.133706039435204,0.4471009998615995
132740,2020-06,37905687891.44271,11780.0,-0.001475,14.984208556860258,0.0,43.674831462915385,0.3417150898048107,0.0,53.731969953135234,0.2781222719142259,0.0,56.49409142357396,0.2645892595502151
132740,2020-07,38240094628.78616,11780.0,-0.002789,14.99299194252312,0.0,46.257701009122954,0.3229313237947798,0.0,54.57632175466605,0.27397726141845663,0.0,51.601196661529556,0.28968792128417
132740,2020-08,40791397784.39932,11780.0,-0.003589,15.0575786003037,0.0,49.8861263892334,0.3008598255531622,0.0,54.97379761681842,0.27316070321507296,0.0,63.502903172119304,0.2366190294799747
132740,2020-09,41993159781.43884,11780.0,-0.004146,15.086614122413996,0.0,52.290823871464006,0.2876431792336392,0.0,54.91821582847507,0.2739517863939596,0.0,56.43498618381243,0.2666240385783258
132740,2020-10,41730096615.98199,11780.0,-0.00466,15.08032998960598,0.0,55.40841026988413,0.2714179322126603,0.0,54.06515262416849,0.27812725709967145,0.0,66.32655975747211,0.2269064876509213
132740,2020-11,50387172647.94435,11780.0,-0.004806,15.268844011471263,0.0,59.08764919069521,0.2577664949801818,0.0,53.248513377611474,0.2858891402892057,0.0,61.906108172879854,0.2460784751797972
132740,2020-12,52831494762.32138,11780.0,-0.004966,15.316214884333213,0.0,49.236396812759665,0.3099983020435564,0.0,56.39438919480463,0.2708526243543493,0.0,57.47574085731692,0.2657804671694651
132740,2021-01,55252000919.77414,11933.0,-0.005047,15.348107442061362,0.0,52.34314023496437,0.2923083766060324,0.0,58.55479802080572,0.2614454170531466,0.0,49.1262973353427,0.3113321665319018
132740,2021-02,59006079401.44558,11933.0,-0.005009,15.413843365876614,0.0,55.484952892172814,0.2770204066478577,0.0,59.96030750746855,0.2564355555861189,0.0,67.36573194725611,0.2283470058690351
132740,2021-03,59206798092.35541,11933.0,-0.004867,15.41723925451509,0.0,57.34910304642071,0.2681197670576514,0.0,60.727030756075074,0.2532694150319731,0.0,56.59288068924096,0.2716855116516002
132740,2021-04,55824078696.801765,11933.0,-0.004835,15.358408180750793,0.0,60.21677098777652,0.254434180930227,0.0,60.38186878870546,0.25374141501842534,0.0,69.76870630319682,0.2197179224080687
